May 24 - 25	0	0	0	0	*			
May 25 - 26	4	6	7	8			*	
May 26 - 27	0	0	0	0	*			
May 27 - 28	0	0	0	0	*			
May 28 - 29	1	3	7	6		*		
May 29 - 30	3	3	4	5		*		
May 30 - 31	2	2	2	2		*		
May 31 - 01	3	2	2	4		*		
June 1 - 2	8	0	0	8		*		
June 2 - 3	3	3	3	3		*		
June 3 - 4	0	0	0	0	*			
June 4 - 5	8	8	8	8			*	
June 5 - 6	5	4	3	3		*		
June 6 - 7	0	1	2	3		*		
June 7 - 8	8	8	8	8			*	
June 8 - 9	8	8	8	8			*	
June 9 - 10	8	8	8	8			*	
June 10 - 11	8	8	8	8			*	
June 11 - 12	4	5	6	7			*	
June 12 - 13	6	7	8	6			*	
June 13 - 14	6	5	3	3		*		
June 14 - 15	8	7	5	3			*	
June 15 - 16	6	8	4	3		*		
June 16 - 17	8	8	3	3		*		
June 17 - 18	5	3	2	2		*		
June 18 - 19	1	0	0	0	*			
June 19 - 20	0	2	5	7		*		
June 20 - 21	0	2	5	3		*		
June 21 - 22	0	0	1	1		*		
June 22 - 23	0	0	0	0	*			
June 23 - 24	0	0	0	0	*			
June 24 - 25	0	0	0	0	*			
June 25 - 26	0	0	0	0	*			
June 26 - 27	0	0	0	0	*			
June 27 - 28	0	0	0	0	*			
June 28 - 29	2	1	0	0		*		
June 29 - 30	0	0	1	3		*		
June 30 - 01	3	2	3	4		*		
July 1 - 2	8	8	8	8			*	
July 2 - 3	8	8	8	8			*	
July 3 - 4	7	4	3	2		*		
July 4 - 5	8	8	8	8			*	
July 5 - 6	6	3	4	3		*		
July 6 - 7	7	8	8	8			*	
July 7 - 8	8	8	8	8			*	snow
July 8 - 9	3	2	2	3		*		
July 9 - 10	2	4	4	4		*		
July 10 - 11	1	1	2	2		*		
July  11 - 12	0	0	0	0	*			
July 12 - 13	3	3	3	3		*		
July 13 - 14	5	5	4	3		*		
July 14 - 15	0	0	0	0	*			
July 15 - 16	3	5	4	2		*		
July 16 - 17	2	1	1	1		*		
July 17 - 18	4	3	3	1		*		
July 18 - 19	2	3	2	3		*		
July 19 - 20	2	2	2	3		*		
July 20 - 21	2	3	4	4		*		
July 21 - 22	6	8	8	5			*	
July 22 - 23	3	3	3	2		*		
July 23 - 24	2	2	2	2		*		
July 24 - 25	0	0	0	0	*			
July 25 - 26	0	0	0	0	*			
July 26 - 27	0	0	0	0	*			
July 27 - 28	8	7	0	0		*		fog at beg.of nite
July 28 - 29	0	0	0	0	*			
July 29 - 30	0	0	0	0	*			
July 30 - 31	0	0	0	0	*			
July 31 - 01	0	0	0	1	*			
August 1 - 2	0	0	2	2		*		
August 2 - 3	0	0	0	0	*			
August 3 - 4	3	4	4	8		*		
August 4 - 5	4	1	0	0		*		
August 5 - 6	0	0	0	0	*			 
August 6 - 7	0	0	0	0	*			
August 7 - 8	5	0	0	0	*			
August 8 - 9	0	0	0	0	*			
August 9 - 10	0	0	0	0	*			
August 10 - 11	0	0	0	0	*			
August 11 - 12	3	2	3	3		*		
August 12 - 13	5	6	6	4		*		
August 13 - 14	3	4	3	3		*		
August 14 - 15	0	0	0	0	*			
August 15 - 16	0	0	0	2	*			
August 16 - 17	2	2	2	2		*		
August 17 - 18	1	1	1	1		*		
August 18 - 19	2	3	4	8		*		
August 19 - 20	4	5	6	4		*		
August 20 - 21	2	4	6	7		*		
August 21 - 22	4	3	3	5		*		 
August 22 - 23	7	2	0	0		*		
August 23 - 24	0	0	0	0	*			
August 24 - 25	0	0	0	0	*			
August 25 - 26	0	0	0	0	*			
August 26 - 27	2	7	6	6		*		
August 27 - 28	0	0	2	8		*		
August 28 - 29	7	8	7	8			*	
August 29 - 30	6	7	8	2			*	
August 30 - 31	1	2	4	7		*		
August 31 - 01	4	2	1	0		*		
September 1 - 2	0	0	0	0	*			
September 2 - 3	0	0	0	0	*			
September 3 - 4	2	1	1	0		*		
September 4 - 5	5	6	5	4		*		
September 5 - 6	1	4	2	1		*		 
September 6 - 7	8	8	8	6			*	
September 7 - 8	1	2	1	2		*		
September 8 - 9	1	0	0	0	*			
September 9 - 10	0	0	0	0	*			
September 10 - 11	0	0	0	0	*			
September 11 - 12	1	1	1	1		*		
September 12 - 13	0	0	0	0	*			
September 13 - 14	0	0	0	0	*			
September 14 - 15	1	1	0	0		*		
September 15 - 16	6	7	8	8			*	
September 16 - 17	6	4	3	2		*		
September 17 - 18	1	2	3	3		*		
September 18 - 19	8	7	1	0		*		
September 19 - 20	0	2	8	8		*		
September 20 - 21	8	5	7	8			*	
September 21 - 22	3	8	6	8			*	 
September 22 - 23	0	0	0	0	*			
September 23 - 24	0	0	0	0	*			
September 24 - 25	0	0	2	8		*		
September 25 - 26	0	0	0	0	*			
September 26 - 27	4	6	8	8			*	
September 27 - 28	0	0	0	0	*			
September 28 - 29	1	0	1	5		*		
September 29 - 30	4	7	6	7		*		
September 30 - 01	4	6	8	8			*	
October 1 - 2	4	7	4	4		*		
October 2 - 3	2	3	3	3		*		
October 3 - 4	4	3	1	1		*		
October 4 - 5	1	0	0	0	*			
October 5 - 6	1	2	1	1		*		 
October 6 - 7	6	5	2	1		*		
October 7 - 8	4	3	4	5		*		
October 8 - 9	0	0	0	0	*			
October 9 - 10	0	0	0	0	*			
October 10 - 11	0	0	0	0	*			
October 11 - 12	0	0	0	0	*			
October 12 - 13	0	0	0	0	*			
October 13 - 14	0	0	0	0	*			
October 14 - 15	0	0	0	0	*			
October 15 - 16	7	6	4	3		*		
October 16 - 17	0	0	0	0	*			
October 17 - 18	0	0	0	0	*			
October 18 - 19	0	0	0	0	*			
October 19 - 20	0	0	0	0	*			
October 20 - 21	0	0	0	0	*			
October 21 - 22	0	0	0	0	*			 
October 22 - 23	0	0	0	0	*			
October 23 - 24	4	4	6	8		*		
October 24 - 25	2	1	2	5		*		
October 25 - 26	8	8	8	8			*	
October 26 - 27	0	1	4	2		*		
October 27 - 28	0	0	0	0	*			
October 28 - 29	0	0	0	0	*			
October 29 - 30	0	0	0	0	*			
October 30 - 31	0	0	0	1	*			
October 31 - 01	3	2	2	2		*		
November 1 - 2	2	1	1	1		*		
November 2 - 3	1	2	3	4		*		
November 3 - 4	3	1	0	0		*		
November 4 - 5	1	2	1	0		*		
November 5 - 6	1	1	1	1		*		 
November 6 - 7	1	1	1	1		*		
November 7 - 8	0	1	2	3		*		
November 8 - 9	3	2	1	0		*		
November 9 - 10	3	4	5	5		*		
November 10 - 11	3	3	3	3		*		
November 11 - 12	3	3	3	3		*		
November 12 - 13	0	0	0	0	*			
November 13 - 14	0	0	0	0	*			
November 14 - 15	3	1	1	2		*		
November 15 - 16	8	8	8	8			*	
November 16 - 17	4	5	7	8		*		
November 17 - 18	2	0	0	0	*			
November 18 - 19	0	0	0	0	*			
November 19 - 20	0	0	0	0	*			
November 20 - 21	1	1	1	1		*		
November 21 - 22	0	0	0	0	*			 
November 22 - 23	4	4	2	2		*		
November 23 - 24	4	4	7	4		*		
November 24 - 25	2	4	1	2		*		
November 25 - 26	5	4	8	8			*	
November 26 - 27	0	2	4	2		*		
November 27 - 28	1	0	0	0	*			
November 28 - 29	0	0	0	1	*			
November 29 - 30	0	0	0	0	*			
November 30 - 01	0	0	0	0	*			
December 1 - 2	0	0	0	0	*			
December 2 - 3	0	0	0	0	*			
December 3 - 4	0	0	0	1	*			
December 4 - 5	0	0	0	0	*			
December 5 - 6	0	0	0	0	*			
December 6 - 7	0	0	0	0	*			
December 7 - 8	7	6	0	0		*		
December 8 - 9	0	0	0	0	*			
December 9 - 10	0	0	0	0	*			
December 10 - 11	0	0	0	0	*			
December 11 - 12	0	0	0	0	*			
December 12 - 13	0	0	0	0	*			
December 13 - 14	0	0	0	0	*			
December 14 - 15	0	0	0	0	*			
December 15 - 16	0	0	0	0	*			
December 16 - 17	0	0	0	0	*			
December 17 - 18	1	1	2	3		*		
December 18 - 19	0	0	0	0	*			
December 19 - 20	0	0	0	0	*			
December 20 - 21	0	0	0	0	*			
December 21 - 22	0	0	0	0	*			
December 22 - 23	0	0	0	0	*			
December 23 - 24	0	0	0	0	*			
December 24 - 25	0	0	0	0	*			
December 25 - 26	0	0	0	0	*			
December 26 - 27	0	0	0	0	*			
December 27 - 28	0	0	0	0	*			
December 28 - 29	0	0	0	0	*			
December 29 - 30	0	0	0	0	*			
December 30 - 31	0	0	0	0	*			
